,A3-20,A3-12,A3-8,A3-4,A3-0,A2-20,A2-12,A2-8,A2-4,A2-0,A1-20,A1-12,A1-8,A1-4,A1-0,length,gccontent,length_aa,length_kb,category,y1,y2,y3,std,mean
gene_Tb427VSG-416,395.0,169.0,147.0,108.0,179.0,318.0,174.0,123.0,112.0,173.0,484.0,222.0,169.0,114.0,162.0,1541,0.48799499999999996,514.0,1.541,MC,1.3611111111111112,1.0982142857142858,1.4824561403508771,0.1964184138429558,1.313927179058758
gene_Tb427VSG-430,6.0,9.0,15.0,19.0,34.0,3.0,11.0,11.0,16.0,33.0,7.0,17.0,20.0,18.0,35.0,1535,0.477524,512.0,1.535,MC,0.7894736842105263,0.6875,1.1111111111111112,0.22109411273312524,0.8626949317738791
gene_Tb427VSG-476,24.0,45.0,54.0,100.0,129.0,32.0,48.0,55.0,90.0,133.0,24.0,51.0,62.0,94.0,123.0,1511,0.459298,504.0,1.511,MC,0.54,0.6111111111111112,0.6595744680851063,0.060143634341025355,0.6035618597320725
gene_Tb427VSG-629,1020.0,536.0,427.0,285.0,400.0,857.0,552.0,348.0,277.0,420.0,1092.0,677.0,495.0,284.0,407.0,1433,0.484996,478.0,1.433,MC,1.4982456140350877,1.256317689530686,1.7429577464788732,0.24332135590843892,1.4991736833482154
gene_Tb427VSG-637,112.0,40.0,23.0,19.0,38.0,42.0,23.0,14.0,14.0,44.0,107.0,41.0,29.0,17.0,38.0,1424,0.5091289999999999,475.0,1.424,MC,1.2105263157894737,1.0,1.7058823529411764,0.3623922436109571,1.30546955624355
gene_Tb427VSG-1963,82.0,78.0,71.0,61.0,122.0,78.0,85.0,58.0,60.0,122.0,108.0,106.0,74.0,56.0,118.0,1454,0.504127,485.0,1.454,MC,1.1639344262295082,0.9666666666666667,1.3214285714285714,0.17775216070192668,1.1506765547749154
gene_Tb427VSG-663,7.0,7.0,9.0,18.0,44.0,9.0,7.0,8.0,15.0,44.0,6.0,6.0,9.0,17.0,41.0,1376,0.48982600000000004,459.0,1.376,MC,0.5,0.5333333333333333,0.5294117647058824,0.018218771065054058,0.5209150326797385
gene_Tb427VSG-832,687.0,378.0,293.0,211.0,291.0,598.0,373.0,259.0,220.0,291.0,789.0,448.0,344.0,198.0,269.0,1460,0.502055,487.0,1.46,MC,1.3886255924170616,1.1772727272727272,1.7373737373737375,0.2828452002219629,1.4344240190211757
gene_Tb427VSG-12,1157.0,527.0,408.0,249.0,401.0,1077.0,584.0,357.0,252.0,408.0,1174.0,639.0,443.0,252.0,391.0,1505,0.46711,502.0,1.505,ND,1.6385542168674698,1.4166666666666667,1.757936507936508,0.17318165843767877,1.6043857971568816
gene_Tb427VSG-631,459.0,290.0,224.0,189.0,380.0,322.0,262.0,209.0,182.0,377.0,454.0,314.0,274.0,185.0,349.0,1433,0.505234,478.0,1.433,MES,1.1851851851851851,1.1483516483516483,1.481081081081081,0.18240064238197945,1.2715393048726382
gene_Tb427VSG-417,109.0,211.0,257.0,385.0,699.0,116.0,239.0,260.0,402.0,690.0,117.0,278.0,318.0,374.0,650.0,1541,0.514601,514.0,1.541,MC,0.6675324675324675,0.6467661691542289,0.8502673796791443,0.11197918701756863,0.7215220054552803
gene_Tb427VSG-671,85.0,59.0,48.0,30.0,61.0,90.0,56.0,47.0,31.0,62.0,56.0,41.0,40.0,27.0,53.0,1313,0.494288,438.0,1.313,MC,1.6,1.5161290322580645,1.4814814814814814,0.06093908329445228,1.532536837913182
gene_Tb427VSG-374,95.0,123.0,112.0,179.0,265.0,111.0,134.0,126.0,166.0,275.0,119.0,134.0,143.0,158.0,249.0,1439,0.518416,480.0,1.439,MC,0.6256983240223464,0.7590361445783133,0.9050632911392406,0.1397305065567079,0.7632659199133
gene_Tb427VSG-322,33.0,47.0,53.0,63.0,105.0,25.0,42.0,47.0,55.0,110.0,40.0,48.0,60.0,62.0,96.0,1517,0.487146,506.0,1.517,ND,0.8412698412698413,0.8545454545454545,0.967741935483871,0.0695040476274192,0.8878524104330556
